"","Ch1","Ch2","Ch3","Ch4","No"
"6661",0.114,0.744,0.1,0.042,6661
"6662",0.054,0.666,0.152,0.128,6662
"6663",0.684,0.068,0.096,0.152,6663
"6664",0.054,0.038,0.718,0.19,6664
"6665",0.062,0.702,0.176,0.06,6665
"6666",0.126,0.678,0.046,0.15,6666
"6667",0.052,0.052,0.742,0.154,6667
"6668",0.046,0.756,0.05,0.148,6668
"6669",0.12,0.288,0.416,0.176,6669
"6670",0.114,0.062,0.714,0.11,6670
"6671",0.03,0.726,0.206,0.038,6671
"6672",0.062,0.098,0.682,0.158,6672
"6673",0.08,0.202,0.654,0.064,6673
"6674",0.034,0.832,0.074,0.06,6674
"6675",0.68,0.046,0.162,0.112,6675
"6676",0.042,0.662,0.246,0.05,6676
"6677",0.23,0.036,0.036,0.698,6677
"6678",0.77,0.078,0.046,0.106,6678
"6679",0.808,0.11,0.03,0.052,6679
"6680",0.128,0.078,0.048,0.746,6680
"6681",0.068,0.78,0.04,0.112,6681
"6682",0.742,0.028,0.096,0.134,6682
"6683",0.116,0.408,0.112,0.364,6683
"6684",0.064,0.698,0.106,0.132,6684
"6685",0.042,0.234,0.678,0.046,6685
"6686",0.712,0.048,0.138,0.102,6686
"6687",0.73,0.052,0.08,0.138,6687
"6688",0.03,0.712,0.196,0.062,6688
"6689",0.028,0.034,0.796,0.142,6689
"6690",0.034,0.028,0.816,0.122,6690
"6691",0.142,0.444,0.112,0.302,6691
"6692",0.328,0.332,0.188,0.152,6692
"6693",0.044,0.018,0.734,0.204,6693
"6694",0.79,0.036,0.05,0.124,6694
"6695",0.784,0.038,0.046,0.132,6695
"6696",0.82,0.042,0.038,0.1,6696
"6697",0.032,0.192,0.74,0.036,6697
"6698",0.048,0.678,0.05,0.224,6698
"6699",0.05,0.08,0.736,0.134,6699
"6700",0.834,0.054,0.016,0.096,6700
"6701",0.05,0.72,0.142,0.088,6701
"6702",0.062,0.758,0.032,0.148,6702
"6703",0.52,0.092,0.106,0.282,6703
"6704",0.034,0.022,0.884,0.06,6704
"6705",0.032,0.028,0.178,0.762,6705
"6706",0.522,0.092,0.102,0.284,6706
"6707",0.144,0.02,0.062,0.774,6707
"6708",0.034,0.694,0.192,0.08,6708
"6709",0.74,0.116,0.056,0.088,6709
"6710",0.15,0.656,0.11,0.084,6710
"6711",0.076,0.17,0.67,0.084,6711
"6712",0.098,0.064,0.808,0.03,6712
"6713",0.09,0.038,0.822,0.05,6713
"6714",0.852,0.066,0.034,0.048,6714
"6715",0.038,0.154,0.746,0.062,6715
"6716",0.756,0.05,0.052,0.142,6716
"6717",0.73,0.058,0.092,0.12,6717
"6718",0.134,0.154,0.678,0.034,6718
"6719",0.054,0.166,0.052,0.728,6719
"6720",0.278,0.33,0.09,0.302,6720
"6721",0.786,0.094,0.044,0.076,6721
"6722",0.822,0.038,0.102,0.038,6722
"6723",0.76,0.11,0.052,0.078,6723
"6724",0.04,0.788,0.048,0.124,6724
"6725",0.354,0.196,0.302,0.148,6725
"6726",0.06,0.856,0.04,0.044,6726
"6727",0.048,0.074,0.098,0.78,6727
"6728",0.028,0.102,0.078,0.792,6728
"6729",0.828,0.076,0.028,0.068,6729
"6730",0.086,0.02,0.114,0.78,6730
"6731",0.098,0.076,0.042,0.784,6731
"6732",0.052,0.184,0.038,0.726,6732
"6733",0.16,0.038,0.1,0.702,6733
"6734",0.046,0.78,0.07,0.104,6734
"6735",0.03,0.668,0.2,0.102,6735
"6736",0.066,0.754,0.104,0.076,6736
"6737",0.072,0.654,0.102,0.172,6737
"6738",0.146,0.386,0.154,0.314,6738
"6739",0.152,0.024,0.076,0.748,6739
"6740",0.068,0.838,0.02,0.074,6740
"6741",0.06,0.834,0.048,0.058,6741
"6742",0.05,0.656,0.048,0.246,6742
"6743",0.724,0.054,0.034,0.188,6743
"6744",0.04,0.15,0.73,0.08,6744
"6745",0.076,0.04,0.748,0.136,6745
"6746",0.196,0.076,0.054,0.674,6746
"6747",0.092,0.556,0.098,0.254,6747
"6748",0.046,0.214,0.044,0.696,6748
"6749",0.142,0.124,0.044,0.69,6749
"6750",0.122,0.054,0.11,0.714,6750
"6751",0.118,0.772,0.022,0.088,6751
"6752",0.042,0.102,0.106,0.75,6752
"6753",0.016,0.046,0.888,0.05,6753
"6754",0.034,0.212,0.036,0.718,6754
"6755",0.036,0.142,0.068,0.754,6755
"6756",0.042,0.19,0.07,0.698,6756
"6757",0.142,0.028,0.15,0.68,6757
"6758",0.086,0.036,0.042,0.836,6758
"6759",0.882,0.02,0.04,0.058,6759
"6760",0.36,0.18,0.144,0.316,6760
"6761",0.078,0.072,0.046,0.804,6761
"6762",0.15,0.17,0.3,0.38,6762
"6763",0.728,0.08,0.146,0.046,6763
"6764",0.08,0.038,0.074,0.808,6764
"6765",0.03,0.136,0.746,0.088,6765
"6766",0.176,0.674,0.034,0.116,6766
"6767",0.764,0.026,0.078,0.132,6767
"6768",0.044,0.654,0.076,0.226,6768
"6769",0.148,0.752,0.026,0.074,6769
"6770",0.028,0.718,0.172,0.082,6770
"6771",0.286,0.364,0.128,0.222,6771
"6772",0.04,0.724,0.092,0.144,6772
"6773",0.038,0.776,0.086,0.1,6773
"6774",0.112,0.714,0.05,0.124,6774
"6775",0.156,0.65,0.124,0.07,6775
"6776",0.052,0.042,0.82,0.086,6776
"6777",0.142,0.12,0.374,0.364,6777
"6778",0.04,0.172,0.656,0.132,6778
"6779",0.03,0.282,0.638,0.05,6779
"6780",0.144,0.254,0.26,0.342,6780
"6781",0.192,0.106,0.426,0.276,6781
"6782",0.058,0.058,0.802,0.082,6782
"6783",0.66,0.09,0.086,0.164,6783
"6784",0.056,0.066,0.77,0.108,6784
"6785",0.036,0.032,0.896,0.036,6785
"6786",0.06,0.032,0.24,0.668,6786
"6787",0.808,0.052,0.022,0.118,6787
"6788",0.06,0.794,0.028,0.118,6788
"6789",0.028,0.036,0.238,0.698,6789
"6790",0.748,0.082,0.028,0.142,6790
"6791",0.07,0.216,0.482,0.232,6791
"6792",0.294,0.022,0.658,0.026,6792
"6793",0.022,0.07,0.08,0.828,6793
"6794",0.018,0.808,0.094,0.08,6794
"6795",0.126,0.736,0.03,0.108,6795
"6796",0.052,0.016,0.852,0.08,6796
"6797",0.08,0.09,0.668,0.162,6797
"6798",0.134,0.026,0.088,0.752,6798
"6799",0.068,0.082,0.026,0.824,6799
"6800",0.02,0.812,0.02,0.148,6800
"6801",0.02,0.778,0.062,0.14,6801
"6802",0.038,0.072,0.06,0.83,6802
"6803",0.102,0.736,0.026,0.136,6803
"6804",0.352,0.35,0.106,0.192,6804
"6805",0.028,0.056,0.74,0.176,6805
"6806",0.16,0.042,0.662,0.136,6806
"6807",0.028,0.1,0.712,0.16,6807
"6808",0.648,0.246,0.05,0.056,6808
"6809",0.736,0.046,0.044,0.174,6809
"6810",0.704,0.046,0.034,0.216,6810
"6811",0.626,0.036,0.232,0.106,6811
"6812",0.018,0.69,0.182,0.11,6812
"6813",0.048,0.702,0.068,0.182,6813
"6814",0.038,0.216,0.724,0.022,6814
"6815",0.038,0.298,0.632,0.032,6815
"6816",0.618,0.126,0.13,0.126,6816
"6817",0.202,0.728,0.024,0.046,6817
"6818",0.15,0.328,0.418,0.104,6818
"6819",0.078,0.802,0.052,0.068,6819
"6820",0.17,0.758,0.038,0.034,6820
"6821",0.188,0.268,0.42,0.124,6821
"6822",0.092,0.048,0.78,0.08,6822
"6823",0.152,0.066,0.106,0.676,6823
"6824",0.714,0.134,0.118,0.034,6824
"6825",0.088,0.022,0.162,0.728,6825
"6826",0.04,0.17,0.752,0.038,6826
"6827",0.104,0.142,0.084,0.67,6827
"6828",0.05,0.092,0.13,0.728,6828
"6829",0.136,0.156,0.026,0.682,6829
"6830",0.174,0.078,0.034,0.714,6830
"6831",0.062,0.12,0.09,0.728,6831
"6832",0.124,0.436,0.388,0.052,6832
"6833",0.13,0.18,0.042,0.648,6833
"6834",0.024,0.186,0.144,0.646,6834
"6835",0.65,0.162,0.16,0.028,6835
"6836",0.078,0.094,0.052,0.776,6836
"6837",0.114,0.182,0.042,0.662,6837
"6838",0.032,0.148,0.056,0.764,6838
"6839",0.118,0.092,0.028,0.762,6839
"6840",0.066,0.118,0.132,0.684,6840
"6841",0.4,0.136,0.346,0.118,6841
"6842",0.062,0.074,0.044,0.82,6842
"6843",0.684,0.062,0.03,0.224,6843
"6844",0.104,0.446,0.094,0.356,6844
"6845",0.052,0.754,0.14,0.054,6845
"6846",0.1,0.724,0.042,0.134,6846
"6847",0.13,0.218,0.09,0.562,6847
"6848",0.796,0.028,0.052,0.124,6848
"6849",0.048,0.16,0.116,0.676,6849
"6850",0.036,0.214,0.026,0.724,6850
"6851",0.74,0.05,0.038,0.172,6851
"6852",0.772,0.042,0.05,0.136,6852
"6853",0.042,0.786,0.028,0.144,6853
"6854",0.886,0.048,0.024,0.042,6854
"6855",0.068,0.872,0.034,0.026,6855
"6856",0.044,0.116,0.74,0.1,6856
"6857",0.798,0.038,0.03,0.134,6857
"6858",0.272,0.142,0.122,0.464,6858
"6859",0.03,0.734,0.194,0.042,6859
"6860",0.19,0.21,0.356,0.244,6860
"6861",0.034,0.834,0.024,0.108,6861
"6862",0.052,0.064,0.054,0.83,6862
"6863",0.048,0.118,0.056,0.778,6863
"6864",0.044,0.06,0.08,0.816,6864
"6865",0.056,0.17,0.03,0.744,6865
"6866",0.054,0.086,0.056,0.804,6866
"6867",0.096,0.716,0.064,0.124,6867
"6868",0.058,0.026,0.158,0.758,6868
"6869",0.114,0.116,0.406,0.364,6869
"6870",0.038,0.056,0.076,0.83,6870
"6871",0.1,0.056,0.074,0.77,6871
"6872",0.15,0.062,0.082,0.706,6872
"6873",0.036,0.8,0.028,0.136,6873
"6874",0.05,0.146,0.028,0.776,6874
"6875",0.016,0.076,0.088,0.82,6875
"6876",0.066,0.142,0.018,0.774,6876
"6877",0.034,0.798,0.058,0.11,6877
"6878",0.06,0.732,0.068,0.14,6878
"6879",0.128,0.15,0.034,0.688,6879
"6880",0.738,0.056,0.04,0.166,6880
"6881",0.066,0.196,0.036,0.702,6881
"6882",0.084,0.108,0.02,0.788,6882
"6883",0.026,0.038,0.174,0.762,6883
"6884",0.054,0.096,0.164,0.686,6884
"6885",0.186,0.024,0.142,0.648,6885
"6886",0.686,0.202,0.084,0.028,6886
"6887",0.032,0.806,0.094,0.068,6887
"6888",0.146,0.014,0.024,0.816,6888
"6889",0.018,0.156,0.102,0.724,6889
"6890",0.166,0.4,0.28,0.154,6890
"6891",0.73,0.046,0.032,0.192,6891
"6892",0.136,0.028,0.148,0.688,6892
"6893",0.062,0.028,0.262,0.648,6893
"6894",0.12,0.062,0.026,0.792,6894
"6895",0.06,0.026,0.154,0.76,6895
"6896",0.198,0.28,0.404,0.118,6896
"6897",0.274,0.06,0.036,0.63,6897
"6898",0.176,0.768,0.028,0.028,6898
"6899",0.044,0.086,0.794,0.076,6899
"6900",0.09,0.146,0.54,0.224,6900
"6901",0.79,0.074,0.032,0.104,6901
"6902",0.428,0.116,0.102,0.354,6902
"6903",0.096,0.752,0.074,0.078,6903
"6904",0.056,0.72,0.078,0.146,6904
"6905",0.252,0.264,0.322,0.162,6905
"6906",0.864,0.04,0.05,0.046,6906
"6907",0.746,0.134,0.05,0.07,6907
"6908",0.79,0.106,0.038,0.066,6908
"6909",0.138,0.218,0.334,0.31,6909
"6910",0.674,0.136,0.122,0.068,6910
"6911",0.082,0.812,0.034,0.072,6911
"6912",0.724,0.08,0.038,0.158,6912
"6913",0.064,0.7,0.08,0.156,6913
"6914",0.092,0.784,0.07,0.054,6914
"6915",0.25,0.078,0.528,0.144,6915
"6916",0.04,0.118,0.702,0.14,6916
"6917",0.152,0.26,0.248,0.34,6917
"6918",0.672,0.118,0.08,0.13,6918
"6919",0.728,0.028,0.106,0.138,6919
"6920",0.03,0.11,0.754,0.106,6920
"6921",0.254,0.424,0.1,0.222,6921
"6922",0.672,0.078,0.054,0.196,6922
"6923",0.138,0.758,0.036,0.068,6923
"6924",0.094,0.73,0.048,0.128,6924
"6925",0.05,0.084,0.75,0.116,6925
"6926",0.102,0.04,0.698,0.16,6926
"6927",0.024,0.83,0.062,0.084,6927
"6928",0.024,0.746,0.126,0.104,6928
"6929",0.446,0.096,0.186,0.272,6929
"6930",0.032,0.026,0.784,0.158,6930
"6931",0.076,0.05,0.744,0.13,6931
"6932",0.028,0.714,0.094,0.164,6932
"6933",0.072,0.748,0.038,0.142,6933
"6934",0.548,0.11,0.11,0.232,6934
"6935",0.034,0.106,0.726,0.134,6935
"6936",0.048,0.032,0.11,0.81,6936
"6937",0.028,0.042,0.81,0.12,6937
"6938",0.792,0.05,0.026,0.132,6938
"6939",0.63,0.048,0.042,0.28,6939
"6940",0.038,0.05,0.034,0.878,6940
"6941",0.038,0.018,0.138,0.806,6941
"6942",0.042,0.786,0.03,0.142,6942
"6943",0.206,0.206,0.096,0.492,6943
"6944",0.056,0.056,0.126,0.762,6944
"6945",0.79,0.024,0.044,0.142,6945
"6946",0.028,0.13,0.074,0.768,6946
"6947",0.72,0.12,0.054,0.106,6947
"6948",0.846,0.036,0.038,0.08,6948
"6949",0.036,0.038,0.832,0.094,6949
"6950",0.108,0.06,0.132,0.7,6950
"6951",0.036,0.764,0.03,0.17,6951
"6952",0.054,0.038,0.766,0.142,6952
"6953",0.032,0.75,0.046,0.172,6953
"6954",0.146,0.388,0.124,0.342,6954
"6955",0.05,0.14,0.078,0.732,6955
"6956",0.14,0.03,0.042,0.788,6956
"6957",0.052,0.052,0.024,0.872,6957
"6958",0.034,0.04,0.904,0.022,6958
"6959",0.052,0.866,0.028,0.054,6959
"6960",0.024,0.034,0.88,0.062,6960
"6961",0.73,0.044,0.044,0.182,6961
"6962",0.128,0.12,0.356,0.396,6962
"6963",0.156,0.554,0.09,0.2,6963
"6964",0.018,0.07,0.89,0.022,6964
"6965",0.038,0.06,0.112,0.79,6965
"6966",0.062,0.84,0.038,0.06,6966
"6967",0.044,0.03,0.158,0.768,6967
"6968",0.086,0.036,0.038,0.84,6968
"6969",0.056,0.138,0.056,0.75,6969
"6970",0.056,0.792,0.04,0.112,6970
"6971",0.036,0.032,0.052,0.88,6971
"6972",0.798,0.026,0.046,0.13,6972
"6973",0.038,0.07,0.126,0.766,6973
"6974",0.096,0.064,0.748,0.092,6974
"6975",0.276,0.46,0.132,0.132,6975
"6976",0.712,0.178,0.062,0.048,6976
"6977",0.188,0.064,0.688,0.06,6977
"6978",0.06,0.092,0.804,0.044,6978
"6979",0.338,0.176,0.122,0.364,6979
"6980",0.806,0.052,0.052,0.09,6980
"6981",0.168,0.392,0.114,0.326,6981
"6982",0.762,0.076,0.092,0.07,6982
"6983",0.056,0.758,0.134,0.052,6983
"6984",0.858,0.054,0.04,0.048,6984
"6985",0.22,0.356,0.202,0.222,6985
"6986",0.044,0.704,0.174,0.078,6986
"6987",0.74,0.086,0.054,0.12,6987
"6988",0.504,0.098,0.148,0.25,6988
"6989",0.81,0.058,0.056,0.076,6989
"6990",0.058,0.082,0.706,0.154,6990
"6991",0.196,0.35,0.148,0.306,6991
"6992",0.098,0.052,0.11,0.74,6992
"6993",0.806,0.066,0.042,0.086,6993
"6994",0.034,0.712,0.086,0.168,6994
"6995",0.03,0.066,0.85,0.054,6995
"6996",0.032,0.054,0.128,0.786,6996
"6997",0.686,0.024,0.062,0.228,6997
"6998",0.194,0.13,0.072,0.604,6998
"6999",0.688,0.034,0.098,0.18,6999
"7000",0.042,0.034,0.718,0.206,7000
"7001",0.086,0.052,0.818,0.044,7001
"7002",0.124,0.092,0.274,0.51,7002
"7003",0.022,0.088,0.642,0.248,7003
"7004",0.088,0.03,0.668,0.214,7004
"7005",0.664,0.104,0.058,0.174,7005
"7006",0.694,0.068,0.098,0.14,7006
"7007",0.066,0.868,0.02,0.046,7007
"7008",0.232,0.686,0.02,0.062,7008
"7009",0.202,0.058,0.654,0.086,7009
"7010",0.036,0.672,0.07,0.222,7010
"7011",0.182,0.64,0.066,0.112,7011
"7012",0.872,0.03,0.044,0.054,7012
"7013",0.036,0.046,0.678,0.24,7013
"7014",0.028,0.04,0.634,0.298,7014
"7015",0.076,0.538,0.32,0.066,7015
"7016",0.026,0.766,0.164,0.044,7016
"7017",0.172,0.082,0.128,0.618,7017
"7018",0.694,0.238,0.026,0.042,7018
"7019",0.026,0.71,0.046,0.218,7019
"7020",0.028,0.638,0.142,0.192,7020
"7021",0.058,0.718,0.13,0.094,7021
"7022",0.592,0.108,0.054,0.246,7022
"7023",0.2,0.098,0.132,0.57,7023
"7024",0.24,0.692,0.014,0.054,7024
"7025",0.11,0.658,0.064,0.168,7025
"7026",0.582,0.132,0.142,0.144,7026
"7027",0.246,0.082,0.572,0.1,7027
"7028",0.044,0.208,0.03,0.718,7028
"7029",0.018,0.7,0.074,0.208,7029
"7030",0.03,0.018,0.71,0.242,7030
"7031",0.108,0.106,0.026,0.76,7031
"7032",0.052,0.12,0.036,0.792,7032
"7033",0.056,0.032,0.8,0.112,7033
"7034",0.082,0.05,0.078,0.79,7034
"7035",0.058,0.092,0.03,0.82,7035
"7036",0.054,0.13,0.046,0.77,7036
"7037",0.696,0.054,0.122,0.128,7037
"7038",0.076,0.846,0.018,0.06,7038
"7039",0.074,0.778,0.05,0.098,7039
"7040",0.424,0.192,0.106,0.278,7040
"7041",0.08,0.03,0.81,0.08,7041
"7042",0.1,0.326,0.394,0.18,7042
"7043",0.102,0.212,0.032,0.654,7043
"7044",0.804,0.058,0.05,0.088,7044
"7045",0.052,0.816,0.034,0.098,7045
"7046",0.028,0.194,0.052,0.726,7046
"7047",0.094,0.046,0.094,0.766,7047
"7048",0.148,0.324,0.11,0.418,7048
"7049",0.134,0.058,0.048,0.76,7049
"7050",0.076,0.708,0.04,0.176,7050
"7051",0.178,0.688,0.036,0.098,7051
"7052",0.06,0.73,0.026,0.184,7052
"7053",0.692,0.04,0.094,0.174,7053
"7054",0.078,0.758,0.05,0.114,7054
"7055",0.228,0.096,0.482,0.194,7055
"7056",0.046,0.082,0.766,0.106,7056
"7057",0.058,0.048,0.086,0.808,7057
"7058",0.756,0.048,0.102,0.094,7058
"7059",0.816,0.04,0.048,0.096,7059
"7060",0.054,0.042,0.848,0.056,7060
"7061",0.04,0.1,0.698,0.162,7061
"7062",0.04,0.662,0.138,0.16,7062
"7063",0.036,0.072,0.826,0.066,7063
"7064",0.028,0.822,0.052,0.098,7064
"7065",0.216,0.448,0.178,0.158,7065
"7066",0.04,0.206,0.058,0.696,7066
"7067",0.812,0.076,0.076,0.036,7067
"7068",0.22,0.17,0.13,0.48,7068
"7069",0.034,0.054,0.134,0.778,7069
"7070",0.028,0.054,0.774,0.144,7070
"7071",0.036,0.074,0.12,0.77,7071
"7072",0.164,0.806,0.006,0.024,7072
"7073",0.02,0.736,0.198,0.046,7073
"7074",0.218,0.088,0.382,0.312,7074
"7075",0.012,0.166,0.056,0.766,7075
"7076",0.088,0.142,0.036,0.734,7076
"7077",0.184,0.266,0.234,0.316,7077
"7078",0.026,0.034,0.152,0.788,7078
"7079",0.236,0.056,0.032,0.676,7079
"7080",0.068,0.078,0.134,0.72,7080
"7081",0.188,0.726,0.076,0.01,7081
"7082",0.498,0.376,0.05,0.076,7082
"7083",0.172,0.054,0.03,0.744,7083
"7084",0.102,0.732,0.068,0.098,7084
"7085",0.054,0.268,0.014,0.664,7085
"7086",0.022,0.112,0.176,0.69,7086
"7087",0.186,0.032,0.122,0.66,7087
"7088",0.038,0.09,0.718,0.154,7088
"7089",0.042,0.052,0.048,0.858,7089
"7090",0.064,0.076,0.054,0.806,7090
"7091",0.058,0.672,0.054,0.216,7091
"7092",0.196,0.722,0.026,0.056,7092
"7093",0.128,0.67,0.054,0.148,7093
"7094",0.028,0.028,0.182,0.762,7094
"7095",0.07,0.804,0.02,0.106,7095
"7096",0.098,0.034,0.028,0.84,7096
"7097",0.05,0.052,0.836,0.062,7097
"7098",0.078,0.028,0.224,0.67,7098
"7099",0.132,0.042,0.03,0.796,7099
"7100",0.154,0.066,0.198,0.582,7100
"7101",0.058,0.166,0.016,0.76,7101
"7102",0.14,0.068,0.05,0.742,7102
"7103",0.124,0.664,0.038,0.174,7103
"7104",0.03,0.276,0.03,0.664,7104
"7105",0.028,0.026,0.046,0.9,7105
"7106",0.074,0.276,0.246,0.404,7106
"7107",0.062,0.138,0.028,0.772,7107
"7108",0.818,0.042,0.032,0.108,7108
"7109",0.706,0.026,0.074,0.194,7109
"7110",0.186,0.284,0.154,0.376,7110
"7111",0.724,0.078,0.04,0.158,7111
"7112",0.148,0.102,0.18,0.57,7112
"7113",0.06,0.878,0.022,0.04,7113
"7114",0.068,0.554,0.112,0.266,7114
"7115",0.192,0.092,0.016,0.7,7115
"7116",0.536,0.226,0.136,0.102,7116
"7117",0.184,0.306,0.276,0.234,7117
"7118",0.11,0.04,0.064,0.786,7118
"7119",0.764,0.064,0.05,0.122,7119
"7120",0.088,0.63,0.14,0.142,7120
"7121",0.092,0.204,0.286,0.418,7121
"7122",0.798,0.094,0.044,0.064,7122
"7123",0.078,0.082,0.028,0.812,7123
"7124",0.09,0.252,0.166,0.492,7124
"7125",0.106,0.822,0.024,0.048,7125
"7126",0.046,0.856,0.042,0.056,7126
"7127",0.03,0.1,0.15,0.72,7127
"7128",0.084,0.768,0.042,0.106,7128
"7129",0.416,0.198,0.31,0.076,7129
"7130",0.056,0.036,0.228,0.68,7130
"7131",0.026,0.85,0.046,0.078,7131
"7132",0.738,0.062,0.112,0.088,7132
"7133",0.042,0.116,0.104,0.738,7133
"7134",0.178,0.15,0.188,0.484,7134
"7135",0.032,0.134,0.762,0.072,7135
"7136",0.754,0.118,0.09,0.038,7136
"7137",0.074,0.772,0.118,0.036,7137
"7138",0.274,0.312,0.31,0.104,7138
"7139",0.022,0.04,0.85,0.088,7139
"7140",0.36,0.246,0.322,0.072,7140
"7141",0.71,0.102,0.094,0.094,7141
"7142",0.038,0.052,0.236,0.674,7142
"7143",0.052,0.04,0.872,0.036,7143
"7144",0.082,0.654,0.114,0.15,7144
"7145",0.036,0.046,0.8,0.118,7145
"7146",0.13,0.136,0.66,0.074,7146
"7147",0.038,0.062,0.694,0.206,7147
"7148",0.092,0.118,0.428,0.362,7148
"7149",0.308,0.108,0.19,0.394,7149
"7150",0.69,0.026,0.208,0.076,7150
"7151",0.158,0.108,0.422,0.312,7151
"7152",0.036,0.044,0.85,0.07,7152
"7153",0.048,0.164,0.732,0.056,7153
"7154",0.788,0.048,0.088,0.076,7154
"7155",0.086,0.426,0.326,0.162,7155
"7156",0.352,0.166,0.078,0.404,7156
"7157",0.086,0.742,0.034,0.138,7157
"7158",0.666,0.058,0.092,0.184,7158
"7159",0.042,0.856,0.06,0.042,7159
"7160",0.766,0.092,0.078,0.064,7160
"7161",0.474,0.202,0.134,0.19,7161
"7162",0.738,0.192,0.026,0.044,7162
"7163",0.062,0.126,0.742,0.07,7163
"7164",0.288,0.51,0.09,0.112,7164
"7165",0.154,0.67,0.038,0.138,7165
"7166",0.674,0.08,0.092,0.154,7166
"7167",0.046,0.788,0.126,0.04,7167
"7168",0.044,0.094,0.708,0.154,7168
"7169",0.028,0.702,0.148,0.122,7169
"7170",0.7,0.044,0.102,0.154,7170
"7171",0.048,0.054,0.846,0.052,7171
"7172",0.03,0.042,0.848,0.08,7172
"7173",0.04,0.106,0.758,0.096,7173
"7174",0.114,0.692,0.026,0.168,7174
"7175",0.042,0.066,0.738,0.154,7175
"7176",0.058,0.082,0.686,0.174,7176
"7177",0.21,0.156,0.21,0.424,7177
"7178",0.19,0.086,0.236,0.488,7178
"7179",0.058,0.086,0.696,0.16,7179
"7180",0.254,0.132,0.122,0.492,7180
"7181",0.102,0.03,0.732,0.136,7181
"7182",0.068,0.17,0.628,0.134,7182
"7183",0.254,0.22,0.134,0.392,7183
"7184",0.074,0.324,0.078,0.524,7184
"7185",0.104,0.03,0.714,0.152,7185
"7186",0.368,0.118,0.082,0.432,7186
"7187",0.084,0.052,0.062,0.802,7187
"7188",0.06,0.092,0.02,0.828,7188
"7189",0.128,0.07,0.04,0.762,7189
"7190",0.126,0.084,0.076,0.714,7190
"7191",0.164,0.11,0.178,0.548,7191
"7192",0.128,0.162,0.214,0.496,7192
"7193",0.05,0.088,0.174,0.688,7193
"7194",0.038,0.132,0.034,0.796,7194
"7195",0.822,0.072,0.024,0.082,7195
"7196",0.022,0.06,0.776,0.142,7196
"7197",0.062,0.098,0.034,0.806,7197
"7198",0.084,0.068,0.048,0.8,7198
"7199",0.056,0.086,0.02,0.838,7199
"7200",0.046,0.09,0.068,0.796,7200
"7201",0.152,0.158,0.506,0.184,7201
"7202",0.046,0.114,0.062,0.778,7202
"7203",0.052,0.068,0.09,0.79,7203
"7204",0.756,0.04,0.048,0.156,7204
"7205",0.234,0.072,0.168,0.526,7205
"7206",0.06,0.16,0.04,0.74,7206
"7207",0.19,0.038,0.04,0.732,7207
"7208",0.138,0.058,0.048,0.756,7208
"7209",0.128,0.102,0.054,0.716,7209
"7210",0.106,0.086,0.064,0.744,7210
"7211",0.038,0.15,0.038,0.774,7211
"7212",0.048,0.13,0.086,0.736,7212
"7213",0.07,0.058,0.152,0.72,7213
"7214",0.132,0.104,0.036,0.728,7214
"7215",0.056,0.09,0.14,0.714,7215
"7216",0.11,0.064,0.058,0.768,7216
"7217",0.116,0.158,0.378,0.348,7217
"7218",0.042,0.114,0.072,0.772,7218
"7219",0.038,0.132,0.118,0.712,7219
"7220",0.082,0.092,0.036,0.79,7220
"7221",0.148,0.028,0.112,0.712,7221
"7222",0.226,0.352,0.052,0.37,7222
"7223",0.08,0.04,0.744,0.136,7223
"7224",0.054,0.712,0.19,0.044,7224
"7225",0.04,0.09,0.112,0.758,7225
"7226",0.788,0.118,0.028,0.066,7226
"7227",0.046,0.046,0.118,0.79,7227
"7228",0.062,0.138,0.034,0.766,7228
"7229",0.802,0.076,0.052,0.07,7229
"7230",0.054,0.054,0.152,0.74,7230
"7231",0.14,0.018,0.744,0.098,7231
"7232",0.062,0.048,0.12,0.77,7232
"7233",0.744,0.126,0.032,0.098,7233
"7234",0.024,0.026,0.168,0.782,7234
"7235",0.764,0.094,0.056,0.086,7235
"7236",0.206,0.028,0.69,0.076,7236
"7237",0.1,0.052,0.8,0.048,7237
"7238",0.04,0.18,0.462,0.318,7238
"7239",0.802,0.01,0.04,0.148,7239
"7240",0.146,0.108,0.174,0.572,7240
"7241",0.75,0.026,0.022,0.202,7241
"7242",0.032,0.246,0.058,0.664,7242
"7243",0.804,0.102,0.07,0.024,7243
"7244",0.048,0.83,0.058,0.064,7244
"7245",0.104,0.084,0.04,0.772,7245
"7246",0.898,0.026,0.028,0.048,7246
"7247",0.018,0.07,0.03,0.882,7247
"7248",0.174,0.696,0.062,0.068,7248
"7249",0.046,0.046,0.028,0.88,7249
"7250",0.682,0.074,0.13,0.114,7250
"7251",0.024,0.052,0.046,0.878,7251
"7252",0.054,0.028,0.05,0.868,7252
"7253",0.052,0.096,0.07,0.782,7253
"7254",0.042,0.09,0.028,0.84,7254
"7255",0.026,0.082,0.022,0.87,7255
"7256",0.05,0.032,0.038,0.88,7256
"7257",0.026,0.024,0.102,0.848,7257
"7258",0.026,0.042,0.738,0.194,7258
"7259",0.748,0.05,0.052,0.15,7259
"7260",0.054,0.048,0.794,0.104,7260
"7261",0.044,0.858,0.066,0.032,7261
"7262",0.84,0.068,0.044,0.048,7262
"7263",0.022,0.846,0.052,0.08,7263
"7264",0.058,0.696,0.048,0.198,7264
"7265",0.262,0.118,0.218,0.402,7265
"7266",0.058,0.768,0.044,0.13,7266
"7267",0.032,0.024,0.782,0.162,7267
