"No","Ch1","Ch2","Ch3","Ch4"
22300,0.49,0.232,0.106,0.172
22301,0.072,0.12,0.592,0.216
22302,0.138,0.336,0.136,0.39
22303,0.182,0.258,0.18,0.38
22304,0.118,0.31,0.12,0.452
22305,0.088,0.36,0.18,0.372
22306,0.188,0.196,0.466,0.15
22307,0.108,0.31,0.102,0.48
22308,0.124,0.28,0.204,0.392
22309,0.418,0.106,0.098,0.378
22310,0.286,0.12,0.144,0.45
22311,0.152,0.332,0.116,0.4
22312,0.442,0.118,0.108,0.332
22313,0.334,0.104,0.174,0.388
22314,0.26,0.256,0.106,0.378
22315,0.22,0.246,0.106,0.428
22316,0.104,0.392,0.1,0.404
22317,0.14,0.29,0.162,0.408
22318,0.12,0.102,0.356,0.422
22319,0.242,0.25,0.116,0.392
22320,0.104,0.23,0.316,0.35
22321,0.286,0.152,0.134,0.428
22322,0.092,0.146,0.408,0.354
22323,0.1,0.286,0.168,0.446
22324,0.156,0.258,0.278,0.308
22325,0.168,0.194,0.136,0.502
22326,0.352,0.086,0.29,0.272
22327,0.368,0.35,0.198,0.084
22328,0.21,0.148,0.366,0.276
22329,0.29,0.18,0.178,0.352
22330,0.28,0.128,0.298,0.294
22331,0.22,0.216,0.088,0.476
22332,0.154,0.13,0.27,0.446
22333,0.392,0.108,0.366,0.134
22334,0.11,0.074,0.484,0.332
22335,0.444,0.192,0.154,0.21
22336,0.436,0.258,0.154,0.152
22337,0.156,0.274,0.404,0.166
22338,0.12,0.344,0.128,0.408
22339,0.19,0.152,0.486,0.172
22340,0.074,0.384,0.11,0.432
22341,0.218,0.198,0.132,0.452
22342,0.216,0.306,0.32,0.158
22343,0.114,0.55,0.17,0.166
22344,0.152,0.496,0.228,0.124
22345,0.494,0.144,0.138,0.224
22346,0.338,0.186,0.122,0.354
22347,0.126,0.31,0.338,0.226
22348,0.122,0.232,0.458,0.188
22349,0.282,0.326,0.222,0.17
22350,0.274,0.184,0.394,0.148
22351,0.22,0.19,0.39,0.2
22352,0.492,0.122,0.202,0.184
22353,0.15,0.166,0.358,0.326
22354,0.166,0.46,0.132,0.242
22355,0.162,0.268,0.206,0.364
22356,0.118,0.15,0.43,0.302
22357,0.186,0.434,0.196,0.184
22358,0.532,0.162,0.128,0.178
22359,0.18,0.338,0.33,0.152
22360,0.194,0.446,0.094,0.266
22361,0.218,0.224,0.144,0.414
22362,0.226,0.198,0.256,0.32
22363,0.14,0.13,0.302,0.428
22364,0.218,0.232,0.326,0.224
22365,0.198,0.18,0.392,0.23
22366,0.464,0.218,0.248,0.07
22367,0.552,0.118,0.106,0.224
22368,0.236,0.572,0.054,0.138
22369,0.118,0.7,0.076,0.106
22370,0.184,0.414,0.162,0.24
22371,0.546,0.096,0.126,0.232
22372,0.286,0.462,0.104,0.148
22373,0.382,0.11,0.192,0.316
22374,0.204,0.596,0.05,0.15
22375,0.066,0.692,0.086,0.156
22376,0.384,0.09,0.108,0.418
22377,0.252,0.386,0.166,0.196
22378,0.106,0.07,0.704,0.12
22379,0.484,0.276,0.088,0.152
22380,0.112,0.126,0.462,0.3
22381,0.128,0.328,0.158,0.386
22382,0.078,0.51,0.104,0.308
22383,0.26,0.112,0.226,0.402
22384,0.282,0.48,0.05,0.188
22385,0.318,0.146,0.436,0.1
22386,0.18,0.236,0.498,0.086
22387,0.146,0.212,0.212,0.43
22388,0.51,0.272,0.1,0.118
22389,0.156,0.222,0.374,0.248
22390,0.144,0.246,0.102,0.508
22391,0.474,0.148,0.168,0.21
22392,0.134,0.362,0.204,0.3
22393,0.096,0.086,0.552,0.266
22394,0.086,0.284,0.214,0.416
22395,0.3,0.414,0.088,0.198
22396,0.116,0.088,0.236,0.56
22397,0.408,0.218,0.124,0.25
22398,0.26,0.09,0.386,0.264
22399,0.084,0.178,0.62,0.118
22400,0.056,0.158,0.7,0.086
22401,0.54,0.074,0.132,0.254
22402,0.166,0.356,0.21,0.268
22403,0.24,0.124,0.258,0.378
22404,0.372,0.114,0.36,0.154
22405,0.098,0.322,0.122,0.458
22406,0.104,0.458,0.13,0.308
22407,0.098,0.14,0.34,0.422
22408,0.084,0.154,0.614,0.148
22409,0.42,0.158,0.278,0.144
22410,0.154,0.532,0.23,0.084
22411,0.144,0.364,0.294,0.198
22412,0.174,0.168,0.534,0.124
22413,0.15,0.144,0.186,0.52
22414,0.216,0.522,0.096,0.166
22415,0.088,0.2,0.548,0.164
22416,0.072,0.182,0.556,0.19
22417,0.278,0.128,0.282,0.312
22418,0.124,0.448,0.246,0.182
22419,0.136,0.26,0.154,0.45
22420,0.118,0.406,0.22,0.256
22421,0.318,0.092,0.438,0.152
22422,0.162,0.268,0.146,0.424
22423,0.09,0.138,0.642,0.13
22424,0.432,0.19,0.118,0.26
22425,0.118,0.34,0.14,0.402
22426,0.238,0.17,0.16,0.432
22427,0.32,0.266,0.126,0.288
22428,0.098,0.274,0.138,0.49
22429,0.556,0.152,0.108,0.184
22430,0.098,0.114,0.52,0.268
22431,0.32,0.15,0.202,0.328
22432,0.294,0.432,0.13,0.144
22433,0.148,0.14,0.148,0.564
22434,0.334,0.212,0.124,0.33
22435,0.13,0.174,0.492,0.204
22436,0.096,0.512,0.12,0.272
22437,0.182,0.126,0.164,0.528
22438,0.146,0.15,0.12,0.584
22439,0.108,0.184,0.502,0.206
22440,0.172,0.386,0.23,0.212
22441,0.296,0.23,0.362,0.112
22442,0.174,0.268,0.424,0.134
22443,0.148,0.456,0.186,0.21
22444,0.216,0.2,0.424,0.16
22445,0.13,0.44,0.23,0.2
22446,0.138,0.344,0.372,0.146
22447,0.318,0.354,0.12,0.208
22448,0.13,0.306,0.47,0.094
22449,0.192,0.438,0.148,0.222
22450,0.18,0.258,0.244,0.318
22451,0.146,0.428,0.226,0.2
22452,0.136,0.43,0.16,0.274
22453,0.19,0.226,0.214,0.37
22454,0.366,0.382,0.142,0.11
22455,0.426,0.19,0.12,0.264
22456,0.27,0.216,0.274,0.24
22457,0.2,0.348,0.278,0.174
22458,0.14,0.436,0.26,0.164
22459,0.352,0.386,0.19,0.072
22460,0.288,0.186,0.36,0.166
22461,0.284,0.216,0.318,0.182
22462,0.316,0.302,0.158,0.224
22463,0.132,0.44,0.156,0.272
22464,0.264,0.284,0.136,0.316
22465,0.324,0.448,0.122,0.106
22466,0.222,0.274,0.164,0.34
22467,0.35,0.364,0.162,0.124
22468,0.25,0.166,0.32,0.264
22469,0.276,0.36,0.212,0.152
22470,0.244,0.41,0.116,0.23
22471,0.394,0.384,0.09,0.132
22472,0.106,0.386,0.26,0.248
22473,0.372,0.326,0.172,0.13
22474,0.496,0.132,0.264,0.108
22475,0.38,0.378,0.13,0.112
22476,0.27,0.134,0.308,0.288
22477,0.118,0.384,0.31,0.188
22478,0.146,0.09,0.47,0.294
22479,0.254,0.122,0.102,0.522
22480,0.088,0.168,0.224,0.52
22481,0.1,0.178,0.08,0.642
22482,0.182,0.182,0.086,0.55
22483,0.17,0.196,0.138,0.496
22484,0.158,0.218,0.076,0.548
22485,0.112,0.334,0.146,0.408
22486,0.082,0.156,0.356,0.406
22487,0.086,0.09,0.244,0.58
22488,0.08,0.124,0.326,0.47
22489,0.23,0.106,0.294,0.37
22490,0.072,0.38,0.11,0.438
22491,0.066,0.314,0.068,0.552
22492,0.132,0.244,0.29,0.334
22493,0.074,0.376,0.258,0.292
22494,0.146,0.116,0.244,0.494
22495,0.128,0.27,0.366,0.236
22496,0.248,0.098,0.13,0.524
22497,0.138,0.498,0.228,0.136
22498,0.126,0.21,0.25,0.414
22499,0.318,0.146,0.074,0.462
22500,0.56,0.13,0.1,0.21
22501,0.396,0.17,0.154,0.28
22502,0.216,0.172,0.148,0.464
22503,0.28,0.166,0.134,0.42
22504,0.126,0.386,0.088,0.4
22505,0.276,0.118,0.128,0.478
22506,0.302,0.198,0.244,0.256
22507,0.082,0.416,0.15,0.352
22508,0.124,0.53,0.108,0.238
22509,0.43,0.13,0.11,0.33
22510,0.086,0.638,0.128,0.148
22511,0.17,0.116,0.396,0.318
22512,0.214,0.128,0.266,0.392
22513,0.16,0.136,0.154,0.55
22514,0.116,0.552,0.106,0.226
22515,0.126,0.108,0.37,0.396
22516,0.11,0.39,0.204,0.296
22517,0.18,0.054,0.25,0.516
22518,0.164,0.202,0.138,0.496
22519,0.13,0.276,0.096,0.498
22520,0.328,0.262,0.096,0.314
22521,0.11,0.408,0.154,0.328
22522,0.1,0.13,0.422,0.348
22523,0.06,0.588,0.096,0.256
22524,0.122,0.106,0.332,0.44
22525,0.25,0.126,0.38,0.244
22526,0.378,0.258,0.058,0.306
22527,0.092,0.386,0.202,0.32
22528,0.104,0.092,0.428,0.376
22529,0.1,0.398,0.17,0.332
22530,0.144,0.138,0.18,0.538
22531,0.116,0.11,0.492,0.282
22532,0.18,0.194,0.096,0.53
22533,0.098,0.352,0.128,0.422
22534,0.208,0.246,0.138,0.408
22535,0.11,0.25,0.308,0.332
22536,0.084,0.378,0.204,0.334
22537,0.142,0.364,0.334,0.16
22538,0.12,0.29,0.148,0.442
22539,0.116,0.308,0.398,0.178
22540,0.094,0.204,0.156,0.546
22541,0.084,0.242,0.214,0.46
22542,0.16,0.168,0.358,0.314
22543,0.312,0.126,0.148,0.414
22544,0.086,0.08,0.588,0.246
22545,0.102,0.452,0.16,0.286
22546,0.394,0.388,0.064,0.154
22547,0.45,0.2,0.192,0.158
22548,0.142,0.092,0.51,0.256
22549,0.388,0.094,0.224,0.294
22550,0.076,0.254,0.512,0.158
22551,0.104,0.328,0.282,0.286
22552,0.196,0.122,0.132,0.55
22553,0.238,0.426,0.11,0.226
22554,0.1,0.1,0.482,0.318
22555,0.096,0.214,0.358,0.332
22556,0.134,0.704,0.122,0.04
22557,0.104,0.254,0.12,0.522
22558,0.226,0.104,0.63,0.04
22559,0.14,0.436,0.196,0.228
22560,0.104,0.186,0.136,0.574
22561,0.114,0.56,0.252,0.074
22562,0.374,0.374,0.196,0.056
22563,0.406,0.066,0.162,0.366
22564,0.38,0.05,0.162,0.408
22565,0.056,0.152,0.43,0.362
22566,0.388,0.38,0.19,0.042
22567,0.126,0.088,0.448,0.338
22568,0.198,0.106,0.08,0.616
22569,0.378,0.072,0.496,0.054
22570,0.166,0.272,0.098,0.464
22571,0.352,0.346,0.06,0.242
22572,0.114,0.47,0.074,0.342
22573,0.282,0.224,0.112,0.382
22574,0.178,0.134,0.312,0.376
22575,0.086,0.286,0.35,0.278
22576,0.266,0.436,0.1,0.198
22577,0.4,0.398,0.148,0.054
22578,0.062,0.33,0.526,0.082
22579,0.108,0.246,0.136,0.51
22580,0.382,0.238,0.252,0.128
22581,0.084,0.162,0.29,0.464
22582,0.29,0.092,0.532,0.086
22583,0.224,0.17,0.404,0.202
22584,0.066,0.334,0.392,0.208
22585,0.274,0.342,0.1,0.284
22586,0.072,0.638,0.114,0.176
22587,0.264,0.116,0.102,0.518
22588,0.238,0.114,0.238,0.41
22589,0.302,0.554,0.094,0.05
22590,0.108,0.07,0.328,0.494
22591,0.236,0.098,0.576,0.09
22592,0.17,0.486,0.174,0.17
22593,0.212,0.246,0.164,0.378
22594,0.138,0.178,0.46,0.224
22595,0.088,0.122,0.284,0.506
22596,0.342,0.27,0.214,0.174
22597,0.12,0.212,0.374,0.294
22598,0.082,0.438,0.08,0.4
22599,0.164,0.17,0.16,0.506
22600,0.1,0.202,0.162,0.536
22601,0.228,0.118,0.156,0.498
22602,0.374,0.182,0.098,0.346
22603,0.398,0.132,0.176,0.294
22604,0.136,0.278,0.3,0.286
22605,0.438,0.186,0.156,0.22
22606,0.208,0.184,0.428,0.18
22607,0.17,0.15,0.254,0.426
22608,0.126,0.436,0.122,0.316
22609,0.202,0.244,0.12,0.434
22610,0.088,0.44,0.148,0.324
22611,0.07,0.186,0.402,0.342
22612,0.116,0.152,0.314,0.418
22613,0.398,0.164,0.142,0.296
22614,0.486,0.174,0.14,0.2
22615,0.138,0.474,0.168,0.22
22616,0.544,0.126,0.132,0.198
22617,0.272,0.15,0.428,0.15
22618,0.394,0.128,0.234,0.244
22619,0.118,0.304,0.098,0.48
22620,0.082,0.55,0.078,0.29
22621,0.232,0.136,0.302,0.33
22622,0.266,0.262,0.124,0.348
22623,0.114,0.412,0.084,0.39
22624,0.088,0.342,0.112,0.458
22625,0.258,0.176,0.13,0.436
22626,0.35,0.11,0.208,0.332
22627,0.17,0.136,0.28,0.414
22628,0.106,0.204,0.508,0.182
22629,0.13,0.332,0.198,0.34
22630,0.28,0.352,0.234,0.134
22631,0.296,0.394,0.116,0.194
22632,0.222,0.276,0.166,0.336
22633,0.102,0.212,0.31,0.376
22634,0.124,0.406,0.192,0.278
22635,0.126,0.422,0.14,0.312
22636,0.18,0.476,0.152,0.192
22637,0.426,0.184,0.11,0.28
22638,0.252,0.244,0.176,0.328
22639,0.18,0.304,0.126,0.39
22640,0.122,0.202,0.406,0.27
22641,0.146,0.404,0.266,0.184
22642,0.14,0.27,0.136,0.454
22643,0.176,0.204,0.208,0.412
22644,0.112,0.32,0.428,0.14
22645,0.238,0.14,0.232,0.39
22646,0.206,0.198,0.26,0.336
22647,0.374,0.292,0.152,0.182
22648,0.448,0.312,0.078,0.162
22649,0.098,0.486,0.176,0.24
22650,0.088,0.386,0.136,0.39
22651,0.116,0.126,0.41,0.348
22652,0.112,0.154,0.19,0.544
22653,0.082,0.264,0.47,0.184
22654,0.138,0.166,0.154,0.542
22655,0.078,0.572,0.13,0.22
22656,0.15,0.24,0.42,0.19
22657,0.256,0.204,0.176,0.364
22658,0.128,0.146,0.208,0.518
22659,0.124,0.144,0.49,0.242
22660,0.524,0.182,0.112,0.182
22661,0.238,0.174,0.35,0.238
22662,0.118,0.19,0.56,0.132
22663,0.158,0.546,0.132,0.164
22664,0.094,0.55,0.124,0.232
22665,0.34,0.168,0.268,0.224
22666,0.238,0.29,0.134,0.338
22667,0.086,0.274,0.46,0.18
22668,0.168,0.224,0.174,0.434
22669,0.16,0.116,0.2,0.524
22670,0.122,0.294,0.13,0.454
22671,0.134,0.09,0.478,0.298
22672,0.284,0.128,0.144,0.444
22673,0.244,0.246,0.116,0.394
22674,0.146,0.15,0.446,0.258
22675,0.11,0.192,0.264,0.434
22676,0.132,0.44,0.106,0.322
22677,0.242,0.158,0.15,0.45
22678,0.154,0.212,0.25,0.384
22679,0.118,0.41,0.1,0.372
22680,0.094,0.226,0.282,0.398
22681,0.126,0.308,0.144,0.422
22682,0.322,0.43,0.036,0.212
22683,0.066,0.044,0.576,0.314
22684,0.138,0.366,0.194,0.302
22685,0.196,0.14,0.276,0.388
22686,0.514,0.08,0.09,0.316
22687,0.066,0.478,0.092,0.364
22688,0.63,0.164,0.142,0.064
22689,0.186,0.42,0.244,0.15
22690,0.086,0.32,0.456,0.138
22691,0.128,0.402,0.366,0.104
22692,0.082,0.444,0.09,0.384
22693,0.126,0.492,0.074,0.308
22694,0.52,0.076,0.22,0.184
22695,0.156,0.146,0.254,0.444
22696,0.07,0.514,0.072,0.344
22697,0.088,0.49,0.07,0.352
22698,0.384,0.192,0.072,0.352
22699,0.636,0.08,0.148,0.136
22700,0.386,0.102,0.092,0.42
22701,0.072,0.366,0.054,0.508
22702,0.254,0.082,0.48,0.184
22703,0.14,0.084,0.65,0.126
22704,0.056,0.458,0.054,0.432
22705,0.05,0.384,0.172,0.394
22706,0.286,0.094,0.298,0.322
22707,0.08,0.532,0.216,0.172
22708,0.072,0.286,0.442,0.2
22709,0.106,0.546,0.082,0.266
22710,0.174,0.236,0.14,0.45
22711,0.448,0.21,0.162,0.18
22712,0.124,0.232,0.118,0.526
22713,0.204,0.12,0.228,0.448
22714,0.108,0.16,0.5,0.232
22715,0.214,0.296,0.122,0.368
22716,0.142,0.16,0.206,0.492
22717,0.15,0.128,0.324,0.398
22718,0.296,0.116,0.17,0.418
22719,0.488,0.126,0.106,0.28
22720,0.084,0.314,0.234,0.368
22721,0.404,0.162,0.052,0.382
22722,0.168,0.146,0.192,0.494
22723,0.128,0.394,0.11,0.368
22724,0.184,0.11,0.586,0.12
22725,0.158,0.404,0.23,0.208
22726,0.15,0.506,0.09,0.254
22727,0.104,0.312,0.494,0.09
22728,0.092,0.434,0.22,0.254
22729,0.272,0.378,0.222,0.128
22730,0.164,0.296,0.192,0.348
22731,0.098,0.486,0.254,0.162
22732,0.276,0.296,0.148,0.28
22733,0.162,0.42,0.202,0.216
22734,0.13,0.45,0.142,0.278
22735,0.074,0.462,0.394,0.07
22736,0.136,0.29,0.32,0.254
22737,0.402,0.208,0.12,0.27
22738,0.414,0.106,0.234,0.246
22739,0.276,0.32,0.146,0.258
22740,0.102,0.54,0.202,0.156
22741,0.488,0.186,0.182,0.144
22742,0.118,0.334,0.468,0.08
22743,0.212,0.36,0.15,0.278
22744,0.238,0.45,0.122,0.19
22745,0.326,0.172,0.176,0.326
22746,0.18,0.376,0.268,0.176
22747,0.532,0.178,0.114,0.176
22748,0.388,0.084,0.416,0.112
22749,0.092,0.182,0.492,0.234
22750,0.154,0.244,0.456,0.146
22751,0.246,0.266,0.384,0.104
22752,0.356,0.168,0.312,0.164
22753,0.288,0.436,0.15,0.126
22754,0.35,0.428,0.154,0.068
22755,0.102,0.212,0.36,0.326
22756,0.266,0.208,0.284,0.242
22757,0.292,0.162,0.222,0.324
22758,0.122,0.316,0.452,0.11
22759,0.392,0.298,0.078,0.232
22760,0.096,0.19,0.502,0.212
22761,0.106,0.442,0.118,0.334
22762,0.124,0.238,0.53,0.108
22763,0.1,0.45,0.208,0.242
22764,0.18,0.504,0.08,0.236
22765,0.382,0.302,0.108,0.208
22766,0.376,0.3,0.204,0.12
22767,0.144,0.102,0.49,0.264
22768,0.076,0.176,0.376,0.372
22769,0.108,0.704,0.07,0.118
22770,0.394,0.18,0.114,0.312
22771,0.33,0.078,0.458,0.134
22772,0.456,0.15,0.182,0.212
22773,0.1,0.558,0.078,0.264
22774,0.096,0.41,0.274,0.22
22775,0.112,0.538,0.214,0.136
22776,0.22,0.354,0.106,0.32
22777,0.138,0.37,0.254,0.238
22778,0.092,0.122,0.464,0.322
22779,0.26,0.34,0.2,0.2
22780,0.228,0.414,0.212,0.146
22781,0.078,0.188,0.476,0.258
22782,0.114,0.09,0.346,0.45
22783,0.078,0.072,0.498,0.352
22784,0.114,0.47,0.102,0.314
22785,0.258,0.38,0.186,0.176
22786,0.166,0.076,0.232,0.526
22787,0.336,0.112,0.112,0.44
22788,0.53,0.088,0.136,0.246
22789,0.506,0.094,0.082,0.318
22790,0.068,0.422,0.416,0.094
22791,0.116,0.242,0.058,0.584
22792,0.048,0.062,0.73,0.16
22793,0.658,0.114,0.064,0.164
22794,0.058,0.244,0.4,0.298
22795,0.136,0.372,0.074,0.418
22796,0.506,0.08,0.078,0.336
22797,0.056,0.062,0.634,0.248
22798,0.092,0.096,0.242,0.57
22799,0.524,0.092,0.082,0.302
22800,0.314,0.098,0.242,0.346
22801,0.092,0.328,0.244,0.336
22802,0.082,0.304,0.2,0.414
22803,0.504,0.262,0.112,0.122
22804,0.234,0.13,0.288,0.348
22805,0.238,0.294,0.126,0.342
22806,0.14,0.426,0.088,0.346
22807,0.418,0.1,0.262,0.22
22808,0.068,0.468,0.164,0.3
22809,0.086,0.212,0.48,0.222
22810,0.16,0.472,0.168,0.2
22811,0.154,0.222,0.312,0.312
22812,0.136,0.378,0.14,0.346
22813,0.43,0.12,0.218,0.232
22814,0.188,0.518,0.098,0.196
22815,0.18,0.422,0.102,0.296
22816,0.136,0.248,0.152,0.464
22817,0.514,0.174,0.108,0.204
22818,0.116,0.468,0.214,0.202
22819,0.176,0.15,0.392,0.282
22820,0.138,0.276,0.426,0.16
22821,0.096,0.166,0.346,0.392
22822,0.254,0.1,0.358,0.288
22823,0.076,0.398,0.104,0.422
22824,0.114,0.464,0.114,0.308
22825,0.202,0.11,0.574,0.114
22826,0.148,0.148,0.186,0.518
22827,0.538,0.148,0.104,0.21
22828,0.122,0.17,0.61,0.098
22829,0.096,0.456,0.18,0.268
22830,0.112,0.1,0.64,0.148
22831,0.092,0.51,0.108,0.29
22832,0.124,0.102,0.55,0.224
22833,0.176,0.662,0.06,0.102
22834,0.124,0.106,0.25,0.52
22835,0.216,0.176,0.132,0.476
22836,0.148,0.442,0.12,0.29
22837,0.152,0.306,0.132,0.41
22838,0.216,0.232,0.102,0.45
22839,0.158,0.184,0.28,0.378
22840,0.398,0.114,0.132,0.356
22841,0.192,0.112,0.158,0.538
22842,0.432,0.122,0.104,0.342
22843,0.208,0.112,0.402,0.278
22844,0.264,0.144,0.504,0.088
22845,0.332,0.166,0.356,0.146
22846,0.076,0.486,0.216,0.222
22847,0.256,0.29,0.106,0.348
22848,0.22,0.242,0.072,0.466
22849,0.466,0.094,0.252,0.188
22850,0.262,0.164,0.402,0.172
22851,0.106,0.414,0.226,0.254
22852,0.366,0.25,0.164,0.22
22853,0.32,0.12,0.416,0.144
22854,0.184,0.254,0.108,0.454
22855,0.438,0.21,0.118,0.234
22856,0.096,0.162,0.416,0.326
22857,0.162,0.104,0.314,0.42
22858,0.18,0.202,0.444,0.174
22859,0.212,0.548,0.06,0.18
22860,0.132,0.226,0.216,0.426
22861,0.238,0.264,0.236,0.262
22862,0.134,0.278,0.136,0.452
22863,0.238,0.424,0.056,0.282
22864,0.11,0.308,0.178,0.404
22865,0.368,0.234,0.142,0.256
22866,0.162,0.094,0.314,0.43
22867,0.166,0.164,0.38,0.29
22868,0.118,0.146,0.294,0.442
22869,0.274,0.134,0.248,0.344
22870,0.368,0.126,0.234,0.272
22871,0.082,0.646,0.08,0.192
22872,0.112,0.452,0.11,0.326
22873,0.092,0.27,0.25,0.388
22874,0.182,0.33,0.11,0.378
22875,0.124,0.474,0.206,0.196
22876,0.144,0.478,0.14,0.238
22877,0.262,0.15,0.166,0.422
22878,0.162,0.088,0.48,0.27
22879,0.224,0.164,0.382,0.23
22880,0.192,0.238,0.456,0.114
22881,0.306,0.154,0.242,0.298
22882,0.116,0.52,0.1,0.264
22883,0.2,0.14,0.314,0.346
22884,0.154,0.228,0.34,0.278
22885,0.38,0.162,0.08,0.378
22886,0.26,0.116,0.1,0.524
22887,0.126,0.54,0.11,0.224
22888,0.528,0.18,0.072,0.22
22889,0.116,0.158,0.49,0.236
22890,0.28,0.472,0.086,0.162
22891,0.23,0.334,0.214,0.222
22892,0.316,0.174,0.342,0.168
22893,0.444,0.154,0.218,0.184
22894,0.112,0.128,0.178,0.582
22895,0.316,0.25,0.138,0.296
22896,0.326,0.558,0.024,0.092
22897,0.062,0.198,0.566,0.174
22898,0.102,0.242,0.376,0.28
22899,0.564,0.216,0.092,0.128
22900,0.354,0.112,0.12,0.414
22901,0.26,0.454,0.086,0.2
22902,0.088,0.512,0.17,0.23
22903,0.228,0.284,0.32,0.168
22904,0.674,0.096,0.108,0.122
22905,0.428,0.358,0.06,0.154
22906,0.608,0.226,0.058,0.108
22907,0.12,0.356,0.32,0.204
22908,0.38,0.32,0.198,0.102
22909,0.216,0.652,0.052,0.08
22910,0.418,0.196,0.12,0.266
22911,0.198,0.358,0.152,0.292
22912,0.17,0.61,0.138,0.082
22913,0.298,0.108,0.454,0.14
22914,0.106,0.296,0.358,0.24
22915,0.474,0.164,0.144,0.218
22916,0.186,0.322,0.146,0.346
22917,0.346,0.152,0.178,0.324
22918,0.428,0.164,0.132,0.276
22919,0.132,0.604,0.1,0.164
22920,0.106,0.122,0.55,0.222
22921,0.214,0.214,0.224,0.348
22922,0.144,0.39,0.112,0.354
22923,0.092,0.344,0.21,0.354
22924,0.514,0.104,0.174,0.208
22925,0.28,0.27,0.114,0.336
22926,0.284,0.094,0.348,0.274
22927,0.136,0.144,0.192,0.528
22928,0.388,0.24,0.158,0.214
22929,0.128,0.438,0.29,0.144
22930,0.124,0.326,0.328,0.222
22931,0.306,0.162,0.342,0.19
22932,0.166,0.134,0.152,0.548
22933,0.336,0.162,0.142,0.36
22934,0.216,0.146,0.216,0.422
22935,0.136,0.472,0.132,0.26
22936,0.462,0.128,0.166,0.244
22937,0.368,0.154,0.174,0.304
22938,0.544,0.178,0.112,0.166
22939,0.112,0.26,0.158,0.47
22940,0.168,0.138,0.378,0.316
22941,0.152,0.128,0.368,0.352
22942,0.126,0.324,0.438,0.112
22943,0.13,0.276,0.148,0.446
22944,0.116,0.31,0.122,0.452
22945,0.21,0.194,0.168,0.428
22946,0.142,0.18,0.294,0.384
22947,0.27,0.492,0.1,0.138
22948,0.194,0.17,0.182,0.454
22949,0.118,0.382,0.222,0.278
22950,0.186,0.256,0.132,0.426
22951,0.154,0.476,0.13,0.24
22952,0.208,0.264,0.126,0.402
22953,0.59,0.13,0.058,0.222
22954,0.098,0.112,0.478,0.312
22955,0.156,0.55,0.106,0.188
22956,0.186,0.406,0.122,0.286
22957,0.164,0.108,0.47,0.258
22958,0.632,0.118,0.084,0.166
22959,0.07,0.072,0.662,0.196
22960,0.304,0.508,0.122,0.066
22961,0.112,0.15,0.544,0.194
22962,0.12,0.158,0.58,0.142
22963,0.094,0.448,0.102,0.356
22964,0.086,0.132,0.542,0.24
22965,0.154,0.472,0.084,0.29
22966,0.104,0.098,0.68,0.118
22967,0.068,0.592,0.27,0.07
22968,0.092,0.478,0.306,0.124
22969,0.144,0.296,0.426,0.134
22970,0.294,0.162,0.43,0.114
22971,0.148,0.202,0.354,0.296
22972,0.196,0.584,0.086,0.134
22973,0.146,0.276,0.124,0.454
22974,0.09,0.108,0.506,0.296
22975,0.238,0.158,0.466,0.138
22976,0.094,0.148,0.308,0.45
22977,0.11,0.324,0.336,0.23
22978,0.112,0.122,0.418,0.348
22979,0.114,0.17,0.376,0.34
22980,0.288,0.506,0.068,0.138
22981,0.204,0.344,0.086,0.366
22982,0.17,0.108,0.17,0.552
22983,0.264,0.502,0.082,0.152
22984,0.116,0.326,0.194,0.364
22985,0.24,0.14,0.114,0.506
22986,0.394,0.192,0.098,0.316
22987,0.126,0.108,0.466,0.3
22988,0.134,0.108,0.512,0.246
22989,0.49,0.16,0.108,0.242
22990,0.186,0.242,0.112,0.46
22991,0.57,0.102,0.084,0.244
22992,0.362,0.434,0.06,0.144
22993,0.306,0.082,0.486,0.126
22994,0.5,0.29,0.084,0.126
22995,0.088,0.222,0.276,0.414
22996,0.618,0.118,0.088,0.176
22997,0.232,0.384,0.148,0.236
22998,0.236,0.084,0.148,0.532
22999,0.604,0.082,0.102,0.212
23000,0.068,0.102,0.558,0.272
23001,0.206,0.544,0.054,0.196
23002,0.11,0.17,0.336,0.384
23003,0.434,0.098,0.146,0.322
23004,0.124,0.274,0.308,0.294
23005,0.214,0.298,0.314,0.174
23006,0.062,0.096,0.576,0.266
23007,0.074,0.39,0.412,0.124
23008,0.104,0.384,0.106,0.406
23009,0.112,0.1,0.326,0.462
23010,0.554,0.132,0.094,0.22
23011,0.3,0.128,0.186,0.386
23012,0.246,0.128,0.26,0.366
23013,0.246,0.158,0.168,0.428
23014,0.118,0.324,0.214,0.344
23015,0.124,0.146,0.344,0.386
23016,0.198,0.176,0.412,0.214
23017,0.172,0.306,0.212,0.31
23018,0.408,0.118,0.188,0.286
23019,0.124,0.16,0.488,0.228
23020,0.238,0.192,0.148,0.422
23021,0.23,0.266,0.15,0.354
23022,0.192,0.168,0.15,0.49
23023,0.402,0.142,0.126,0.33
23024,0.196,0.324,0.124,0.356
23025,0.122,0.222,0.226,0.43
23026,0.548,0.116,0.116,0.22
23027,0.218,0.24,0.116,0.426
23028,0.128,0.474,0.118,0.28
23029,0.122,0.09,0.316,0.472
23030,0.384,0.24,0.104,0.272
23031,0.098,0.166,0.248,0.488
23032,0.184,0.338,0.274,0.204
23033,0.42,0.1,0.126,0.354
23034,0.124,0.276,0.13,0.47
